product_id,spec_name,spec_value
1,CPU,"AMD Ryzen™ AI 9 HX 370 Processor 2.0GHz (36MB Cache, up to 5.1GHz, 12 cores, 24 Threads); AMD XDNA™ NPU up to 50TOPS"
1,RAM,32GB (16x2) Onboard LPDDR5X 7467MHz (Không nâng cấp được)
1,Ổ lưu trữ,"1TB PCIe® 4.0 NVMe™ M.2 SSD (2 slots, support M.2 2280 PCIe 4.0x4, nâng cấp tối đa 2TB)"
1,Card đồ họa,"NVIDIA® GeForce RTX™ 4070 Laptop GPU (321 AI TOPs)
ROG Boost: 1655MHz* at 105W (1605MHz Boost Clock+50MHz OC, 85W+20W Dynamic Boost)"
1,Màn hình,"16-inch 2.5K (2560 x 1600, WQXGA) 16:10 OLED, 240Hz, 0.2ms, 500 nits, 100% DCI-P3, Glossy display, G-Sync / Adaptive-Sync, ROG Nebula Display"
1,Cổng giao tiếp,"1x Type C USB 4 support DisplayPort™ / power delivery
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery
2x USB 3.2 Gen 2 Type-A
1x card reader (SD Card) (SD Express 7.0)
1x HDMI 2.1 FRL
1x 3.5mm Combo Audio Jack"
1,Bàn phím,"Backlit Chiclet Keyboard 1-Zone RGB
With Copilot key"
1,Audio,"4-speaker (dual force woofer) system with Smart Amplifier Technology, 2 Tweeters"
1,Đọc thẻ nhớ,"Card reader (SD) (UHS-II, 312MB/s)"
1,LAN,N/A
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
2,CPU,Intel Core i5-1335U 1.3GHz up to 4.6GHz 12MB
2,RAM,"16GB (2x8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
2,Ổ cứng,512GB NVMe PCIe Gen4 SSD (1 x slots M.2 NVMe PCIe Gen4)
2,Card đồ họa,Intel Iris Xe Graphics
2,Màn hình,"15.6"" FHD (1920 x 1080) IPS-Level, 60Hz, 45% NTSC, Thin Bezel, 65% sRGB"
2,Cổng giao tiếp,"1x Type-C (USB3.2 Gen2 / DisplayPort™/ Power Delivery 3.0)
3x Type-A USB3.2 Gen1
1x Micro SD Card Reader
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
2,Bàn phím,Single Backlit Keyboard (White)
2,Audio,2x 2W Audio Speaker
2,LAN,Gigabit Ethernet
2,Wifi + Bluetooth,"802.11 ax Wi-Fi 6E, Bluetooth v5.3"
2,Webcam,HD type (30fps@720p)
2,Bảo mật,"Fingerprint Security, Discrete Trusted Platform Module(dTPM) 2.0, Firmware Trusted Platform Module(fTPM) 2.0, Webcam Shutter, Kensington Lock"
2,Pin,3 Cell 46.8 WHr
2,,
2,,
2,,
2,,
3,CPU,Intel Core i5-13420H 2.1GHz up to 4.6GHz 12MB
3,RAM,"16GB (2 x 8GB) DDR4 3200MHz (2x SO-DIMM socket, up to 64GB SDRAM)"
3,Ổ cứng,"512GB NVMe PCIe SSD Gen3x4 (Còn trống 1x 2.5"" SATA HDD slot)"
3,VGA,"NVIDIA® GeForce RTX™ 2050 4GB UUp to 1170MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost.
AI TOPs: 104 TOPs"
3,Màn hình,"15.6"" FHD (1920 x 1080), 144Hz, IPS-Level, 45% NTSC, 65% sRGB"
3,Cổng giao tiếp,"1x Type-C (USB3.2 Gen1 / DP)
3x Type-A USB3.2 Gen1
1x HDMI™ (4K @ 30Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack"
3,Bàn phím,Single Backlit Keyboard (Blue)
3,Audio,2x 2W Speaker
3,Chuẩn LAN,Gigabit Ethernet
3,Chuẩn WIFI,802.11 ax Wi-Fi 6E
3,Bluetooth,v5.3
3,Webcam,HD type (30fps@720p)
3,Hệ điều hành,Windows 11 Home
3,,
3,,
3,,
3,,
4,CPU,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
4,RAM,"32GB (16x2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)"
4,Ổ cứng,1TB NVMe PCIe Gen4x4 SSD (1 x slots M.2 NVMe PCIe Gen4)
4,Card đồ họa,"NVIDIA® GeForce RTX™ 4050 6GB GDDR6 powers advanced AI with 194 AI TOPS
Up to 1605MHz Boost Clock 45W Maximum Graphics Power with Dynamic Boost."
4,Màn hình,"14"" 2.8K (2880 x 1800), IPS-Level, 100% DCI-P3(Typical)"
